 | Origin: Vienna |  Destination: Budapest | Date of the flight: 2019-06-27 | Departure time: 17:30 | Arrival time: 18:30 | Airplain make: Boeing    | Airplain model: 747 Capacity: 400 seats | Pilot name: Marco Kline | Pilot rating: 3
 | Origin: Vienna |  Destination: Barcelona | Date of the flight: 2019-06-28 | Departure time: 19:30 | Arrival time: 21:30 | Airplain make: Boeing    | Airplain model: 737 Capacity: 230 seats | Pilot name: Terence Hensley | Pilot rating: 3
 | Origin: Amsterdam |  Destination: Munich | Date of the flight: 2019-06-11 | Departure time: 11:30 | Arrival time: 12:30 | Airplain make: Boeing    | Airplain model: 737 Capacity: 230 seats | Pilot name: Lucinda Moreno | Pilot rating: 3
 | Origin: Madrid |  Destination: Lisbon | Date of the flight: 2019-06-23 | Departure time: 8:30 | Arrival time: 9:30 | Airplain make: Boeing    | Airplain model: 747 Capacity: 400 seats | Pilot name: Louise Hogan | Pilot rating: 3
 | Origin: Prague |  Destination: London | Date of the flight: 2019-06-15 | Departure time: 10:30 | Arrival time: 12:30 | Airplain make: Airbus    | Airplain model: A220 Capacity: 160 seats | Pilot name: Kent Hoffman | Pilot rating: 1
 | Origin: Vienna |  Destination: Munich | Date of the flight: 2019-06-20 | Departure time: 6:30 | Arrival time: 7:30 | Airplain make: Boeing    | Airplain model: 777 Capacity: 396 seats | Pilot name: Winston Hodge | Pilot rating: 3
 | Origin: Rome |  Destination: London | Date of the flight: 2019-06-07 | Departure time: 13:30 | Arrival time: 16:30 | Airplain make: Airbus    | Airplain model: A220 Capacity: 160 seats | Pilot name: Katheryn Kirby | Pilot rating: 2
 | Origin: Rome |  Destination: Munich | Date of the flight: 2019-06-20 | Departure time: 17:30 | Arrival time: 19:30 | Airplain make: Boeing    | Airplain model: 777 Capacity: 396 seats | Pilot name: Shannon Rubio | Pilot rating: 3
 | Origin: Paris |  Destination: Lisbon | Date of the flight: 2019-06-26 | Departure time: 13:30 | Arrival time: 16:30 | Airplain make: Boeing    | Airplain model: 747 Capacity: 400 seats | Pilot name: Guy Randolph | Pilot rating: 4
 | Origin: Rome |  Destination: Frankfurt | Date of the flight: 2019-06-11 | Departure time: 18:30 | Arrival time: 20:30 | Airplain make: Airbus    | Airplain model: A220 Capacity: 160 seats | Pilot name: Jamar Hurst | Pilot rating: 1
 | Origin: Berlin |  Destination: Barcelona | Date of the flight: 2019-06-27 | Departure time: 11:30 | Arrival time: 14:30 | Airplain make: Boeing    | Airplain model: 737 Capacity: 230 seats | Pilot name: Lucinda Moreno | Pilot rating: 3
 | Origin: Madrid |  Destination: Frankfurt | Date of the flight: 2019-06-25 | Departure time: 12:30 | Arrival time: 15:30 | Airplain make: Airbus    | Airplain model: A220 Capacity: 160 seats | Pilot name: Kent Hoffman | Pilot rating: 1
 | Origin: Rome |  Destination: Edinburgh | Date of the flight: 2019-06-22 | Departure time: 8:30 | Arrival time: 12:30 | Airplain make: Boeing    | Airplain model: 777 Capacity: 396 seats | Pilot name: Manual Bradley | Pilot rating: 4
 | Origin: Prague |  Destination: Milan | Date of the flight: 2019-06-10 | Departure time: 17:30 | Arrival time: 19:30 | Airplain make: Boeing    | Airplain model: 737 Capacity: 230 seats | Pilot name: Louise Hogan | Pilot rating: 3
 | Origin: Amsterdam |  Destination: London | Date of the flight: 2019-06-21 | Departure time: 18:30 | Arrival time: 19:30 | Airplain make: Boeing    | Airplain model: 747 Capacity: 400 seats | Pilot name: Liza Oliver | Pilot rating: 3
 | Origin: Paris |  Destination: Lisbon | Date of the flight: 2019-06-07 | Departure time: 12:30 | Arrival time: 15:30 | Airplain make: Airbus    | Airplain model: A320 Capacity: 186 seats | Pilot name: Lee Munoz | Pilot rating: 2
 | Origin: Rome |  Destination: Munich | Date of the flight: 2019-06-27 | Departure time: 17:30 | Arrival time: 19:30 | Airplain make: Boeing    | Airplain model: 747 Capacity: 400 seats | Pilot name: Louise Hogan | Pilot rating: 3
 | Origin: Dublin |  Destination: Budapest | Date of the flight: 2019-06-01 | Departure time: 19:30 | Arrival time: 22:30 | Airplain make: Boeing    | Airplain model: 747 Capacity: 400 seats | Pilot name: Seth Gallagher | Pilot rating: 4
 | Origin: Prague |  Destination: Milan | Date of the flight: 2019-06-29 | Departure time: 9:30 | Arrival time: 11:30 | Airplain make: Airbus    | Airplain model: A320 Capacity: 186 seats | Pilot name: Lee Munoz | Pilot rating: 2
 | Origin: Amsterdam |  Destination: Munich | Date of the flight: 2019-06-30 | Departure time: 16:30 | Arrival time: 17:30 | Airplain make: Boeing    | Airplain model: 777 Capacity: 396 seats | Pilot name: Morton Valenzuela | Pilot rating: 3
 | Origin: Dublin |  Destination: Barcelona | Date of the flight: 2019-06-15 | Departure time: 13:30 | Arrival time: 15:30 | Airplain make: Airbus    | Airplain model: A330 Capacity: 335 seats | Pilot name: Marco Kline | Pilot rating: 3
 | Origin: Rome |  Destination: London | Date of the flight: 2019-06-14 | Departure time: 19:30 | Arrival time: 22:30 | Airplain make: Boeing    | Airplain model: 777 Capacity: 396 seats | Pilot name: Manual Bradley | Pilot rating: 4
 | Origin: Dublin |  Destination: Budapest | Date of the flight: 2019-06-29 | Departure time: 6:30 | Arrival time: 9:30 | Airplain make: Boeing    | Airplain model: 777 Capacity: 396 seats | Pilot name: Manual Bradley | Pilot rating: 4
 | Origin: Vienna |  Destination: Munich | Date of the flight: 2019-06-21 | Departure time: 18:30 | Arrival time: 19:30 | Airplain make: Boeing    | Airplain model: 777 Capacity: 396 seats | Pilot name: Lucinda Moreno | Pilot rating: 3
 | Origin: Vienna |  Destination: Edinburgh | Date of the flight: 2019-06-04 | Departure time: 18:30 | Arrival time: 23:30 | Airplain make: Boeing    | Airplain model: 777 Capacity: 396 seats | Pilot name: Jared May | Pilot rating: 4
 | Origin: Vienna |  Destination: Munich | Date of the flight: 2019-06-13 | Departure time: 12:30 | Arrival time: 13:30 | Airplain make: Boeing    | Airplain model: 747 Capacity: 400 seats | Pilot name: Guy Randolph | Pilot rating: 4
 | Origin: Rome |  Destination: Edinburgh | Date of the flight: 2019-06-29 | Departure time: 9:30 | Arrival time: 13:30 | Airplain make: Boeing    | Airplain model: 737 Capacity: 230 seats | Pilot name: Louise Hogan | Pilot rating: 3
 | Origin: Madrid |  Destination: Copenhagen | Date of the flight: 2019-06-24 | Departure time: 12:30 | Arrival time: 15:30 | Airplain make: Boeing    | Airplain model: 747 Capacity: 400 seats | Pilot name: Seth Gallagher | Pilot rating: 4
 | Origin: Rome |  Destination: Munich | Date of the flight: 2019-06-30 | Departure time: 15:30 | Arrival time: 17:30 | Airplain make: Boeing    | Airplain model: 777 Capacity: 396 seats | Pilot name: Manual Bradley | Pilot rating: 4
 | Origin: Madrid |  Destination: Munich | Date of the flight: 2019-06-14 | Departure time: 10:30 | Arrival time: 12:30 | Airplain make: Boeing    | Airplain model: 777 Capacity: 396 seats | Pilot name: Winston Hodge | Pilot rating: 3
 | Origin: Dublin |  Destination: London | Date of the flight: 2019-07-01 | Departure time: 6:30 | Arrival time: 7:30 | Airplain make: Airbus   | Airplain model: A330 Capacity: 335 seats | Pilot name: Gayle Gomez | Pilot rating: 3
 | Origin: Madrid |  Destination: Edinburgh | Date of the flight: 2019-07-02 | Departure time: 7:30 | Arrival time: 10:30 | Airplain make: Airbus   | Airplain model: A320 Capacity: 186 seats | Pilot name: Ben Guerra | Pilot rating: 2
 | Origin: Brussels |  Destination: Budapest | Date of the flight: 2019-07-03 | Departure time: 8:30 | Arrival time: 11:30 | Airplain make: Boeing   | Airplain model: 747 Capacity: 400 seats | Pilot name: Lonny Morton | Pilot rating: 3
